Team_Name,Match_Num
"Chennai Super Kings",1
"Gujarat Titans",1
"Kolkata Knight Riders",2
"Punjab Kings",2
"Delhi Capitals",3
"Lucknow Super Giants",3
"Rajasthan Royals",4
"Sunrisers Hyderabad",4
"Mumbai Indians",5
"Royal Challengers Bangalore",5
"Chennai Super Kings",6
"Lucknow Super Giants",6
"Delhi Capitals",7
"Gujarat Titans",7
"Punjab Kings",8
"Rajasthan Royals",8
"Kolkata Knight Riders",9
"Royal Challengers Bangalore",9
"Lucknow Super Giants",10
"Sunrisers Hyderabad",10
"Delhi Capitals",11
"Rajasthan Royals",11
"Chennai Super Kings",12
"Mumbai Indians",12
"Gujarat Titans",13
"Kolkata Knight Riders",13
"Punjab Kings",14
"Sunrisers Hyderabad",14
"Lucknow Super Giants",15
"Royal Challengers Bangalore",15
"Delhi Capitals",16
"Mumbai Indians",16
"Chennai Super Kings",17
"Rajasthan Royals",17
"Gujarat Titans",18
"Punjab Kings",18
"Kolkata Knight Riders",19
"Sunrisers Hyderabad",19
"Delhi Capitals",20
"Royal Challengers Bangalore",20
"Lucknow Super Giants",21
"Punjab Kings",21
"Kolkata Knight Riders",22
"Mumbai Indians",22
"Gujarat Titans",23
"Rajasthan Royals",23
"Chennai Super Kings",24
"Royal Challengers Bangalore",24
"Mumbai Indians",25
"Sunrisers Hyderabad",25
"Lucknow Super Giants",26
"Rajasthan Royals",26
"Punjab Kings",27
"Royal Challengers Bangalore",27
"Delhi Capitals",28
"Kolkata Knight Riders",28
"Chennai Super Kings",29
"Sunrisers Hyderabad",29
"Gujarat Titans",30
"Lucknow Super Giants",30
"Mumbai Indians",31
"Punjab Kings",31
"Rajasthan Royals",32
"Royal Challengers Bangalore",32
"Chennai Super Kings",33
"Kolkata Knight Riders",33
"Delhi Capitals",34
"Sunrisers Hyderabad",34
"Gujarat Titans",35
"Mumbai Indians",35
"Kolkata Knight Riders",36
"Royal Challengers Bangalore",36
"Chennai Super Kings",37
"Rajasthan Royals",37
"Lucknow Super Giants",38
"Punjab Kings",38
"Gujarat Titans",39
"Kolkata Knight Riders",39
"Delhi Capitals",40
"Sunrisers Hyderabad",40
"Chennai Super Kings",41
"Punjab Kings",41
"Mumbai Indians",42
"Rajasthan Royals",42
"Lucknow Super Giants",43
"Royal Challengers Bangalore",43
"Delhi Capitals",44
"Gujarat Titans",44
"Chennai Super Kings",45
"Lucknow Super Giants",45
"Mumbai Indians",46
"Punjab Kings",46
"Kolkata Knight Riders",47
"Sunrisers Hyderabad",47
"Gujarat Titans",48
"Rajasthan Royals",48
"Chennai Super Kings",49
"Mumbai Indians",49
"Delhi Capitals",50
"Royal Challengers Bangalore",50
"Gujarat Titans",51
"Lucknow Super Giants",51
"Rajasthan Royals",52
"Sunrisers Hyderabad",52
"Kolkata Knight Riders",53
"Punjab Kings",53
"Mumbai Indians",54
"Royal Challengers Bangalore",54
"Chennai Super Kings",55
"Delhi Capitals",55
"Kolkata Knight Riders",56
"Rajasthan Royals",56
"Gujarat Titans",57
"Mumbai Indians",57
"Lucknow Super Giants",58
"Sunrisers Hyderabad",58
"Delhi Capitals",59
"Punjab Kings",59
"Rajasthan Royals",60
"Royal Challengers Bangalore",60
"Chennai Super Kings",61
"Kolkata Knight Riders",61
"Gujarat Titans",62
"Sunrisers Hyderabad",62
"Lucknow Super Giants",63
"Mumbai Indians",63
"Delhi Capitals",64
"Punjab Kings",64
"Royal Challengers Bangalore",65
"Sunrisers Hyderabad",65
"Punjab Kings",66
"Rajasthan Royals",66
"Chennai Super Kings",67
"Delhi Capitals",67
"Kolkata Knight Riders",68
"Lucknow Super Giants",68
"Mumbai Indians",69
"Sunrisers Hyderabad",69
"Gujarat Titans",70
"Royal Challengers Bangalore",70
