Team_Name,Owner,Home_city,Home_ground
"Chennai Super Kings","N. Srinivasan",Chennai,"M.A Chidambaram Stadium"
"Delhi Capitals","Siddarth Bhasin",Delhi,"Arun Jaitley Stadium"
"Gujarat Titans","CVC Capital",Ahemdabad,"Narendra Modi Stadium"
"Kolkata Knight Riders","Shahrukh Khan",Kolkata,"Eden Gardens Stadium"
"Lucknow Super Giants","Sanjiv Goenka",Lucknow,"Ekana Stadium"
"Mumbai Indians","Nita Ambani",Mumbai,"Wankhede Stadium"
"Punjab Kings","Priety Zinta",Mohali,"Indrajit Singh Bindra Stadium"
"Rajasthan Royals","Manoj Badale",Jaipur,"Sawai Mansingh Stadium"
"Royal Challengers Bangalore","United Spirits",Bangalore,"M. Chinnaswamy Stadium"
"Sunrisers Hyderabad","Kavya Maran",Hyderabad,"Rajiv Gandhi Stadium"
